name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Bicycle_100000_colored_pointcloud,Basic,1.6335083046215004e-06,3.0434393920586444e-06,4.252299731888343e-06,5.379535650718026e-06,8.479271855321713e-06,1.0504912097530905e-05,1.3385069905780256e-05,1.66575082403142e-05,2.02372557396302e-05,2.1270170691423118e-05,2.2037167582311668e-05,2.271811717946548e-05,2.325284731341526e-05,2.3770666302880272e-05,2.4196269805543125e-05,2.465098623360973e-05,2.500880873412825e-05,2.5393137548235245e-05,2.5717270546010695e-05,2.6122594135813415e-05,2.647215296747163e-05,2.6802876163856126e-05,2.720900192798581e-05,2.7568450605031103e-05,2.7912195946555585e-05,2.8246173314983025e-05,2.859829692170024e-05,2.8897178708575666e-05,2.9313019695109688e-05,2.966171996376943e-05
Bicycle_100000_pointcloud,Basic,1.7365930489177117e-06,3.24448819810641e-06,4.5563883759314194e-06,5.767379661847372e-06,9.004155799630098e-06,1.1281410479568876e-05,1.4071276382310316e-05,1.718934618111234e-05,2.051264345936943e-05,2.147632221749518e-05,2.203099211328663e-05,2.2542953956872225e-05,2.3037897335598245e-05,2.350862450839486e-05,2.3878561478340998e-05,2.4202712666010484e-05,2.4555838535889052e-05,2.4933164240792394e-05,2.5238554371753708e-05,2.561587098171003e-05,2.5956273020710796e-05,2.6258197976858355e-05,2.657480763446074e-05,2.6884601538768038e-05,2.7128953661303967e-05,2.745477650023531e-05,2.7715568649000488e-05,2.7950300136581063e-05,2.824008697643876e-05,2.854943522834219e-05
Cat_100000_colored_pointcloud,Basic,1.4675840702693677e-06,2.9710872695432045e-06,4.219353286316618e-06,5.596044047706528e-06,1.0059345186164137e-05,1.3283026419230737e-05,1.790941860235762e-05,2.3142933059716597e-05,2.8863207262475044e-05,3.028834362339694e-05,3.1291987397708e-05,3.214829121134244e-05,3.2876108889468014e-05,3.3562064345460385e-05,3.4114586014766246e-05,3.465637200861238e-05,3.512709372444078e-05,3.5633380321087316e-05,3.609972554841079e-05,3.655133696156554e-05,3.7032787076896057e-05,3.748538438230753e-05,3.798741818172857e-05,3.846721665468067e-05,3.884569014189765e-05,3.926453064195812e-05,3.9611633837921545e-05,3.9976257539819926e-05,4.0402384911431e-05,4.081189035787247e-05
Cat_100000_pointcloud,Basic,1.6239639535342576e-06,3.343835942359874e-06,4.944565262121614e-06,6.5752929003792815e-06,1.0804104022099636e-05,1.3846395631844644e-05,1.7962973288376816e-05,2.2839303710497916e-05,2.793870953610167e-05,2.9261653253342956e-05,3.0319248253363185e-05,3.112584090558812e-05,3.182465661666356e-05,3.241604281356558e-05,3.288962398073636e-05,3.334863140480593e-05,3.378129258635454e-05,3.420758366701193e-05,3.459533036220819e-05,3.495941200526431e-05,3.5341559851076454e-05,3.573579670046456e-05,3.609265695558861e-05,3.639802162069827e-05,3.668773570097983e-05,3.696682324516587e-05,3.727176954271272e-05,3.7570887798210606e-05,3.786799788940698e-05,3.819831181317568e-05
Chair3Legs_100000_colored_pointcloud,Basic,1.4081862218517927e-06,2.718592668315978e-06,3.874456524499692e-06,4.819195055461023e-06,1.6861853509908542e-05,1.9832630641758442e-05,2.3345774025074206e-05,2.7602831323747523e-05,3.231449591112323e-05,3.3335825719404966e-05,3.4028362279059365e-05,3.467538772383705e-05,3.514875425025821e-05,3.5625223972601816e-05,3.610237763496116e-05,3.644467506092042e-05,3.675965126603842e-05,3.714309787028469e-05,3.744207788258791e-05,3.786868182942271e-05,3.817887409240939e-05,3.8492951716762036e-05,3.879563882946968e-05,3.907985956175253e-05,3.9344267861451954e-05,3.96691175410524e-05,3.99300224671606e-05,4.0156915929401293e-05,4.047008042107336e-05,4.076448385603726e-05
Chair3Legs_100000_pointcloud,Basic,1.5588250334985787e-06,2.7918649720959365e-06,3.963067683798727e-06,5.035087269789074e-06,1.6671026969561353e-05,1.9671944755828008e-05,2.316921927558724e-05,2.7242476789979264e-05,3.156614548061043e-05,3.243125320295803e-05,3.3140135201392695e-05,3.364337680977769e-05,3.410648787394166e-05,3.455023397691548e-05,3.490317249088548e-05,3.521497274050489e-05,3.551467307261191e-05,3.5820703487843275e-05,3.614057641243562e-05,3.642847514129244e-05,3.6679473851108924e-05,3.698231012094766e-05,3.7280278775142506e-05,3.750465111806989e-05,3.771288902498782e-05,3.7973077269271016e-05,3.8200880226213485e-05,3.844510138151236e-05,3.8699425203958526e-05,3.8972750189714134e-05
Chair_100000_colored_pointcloud,Basic,1.4498873497359455e-06,2.7099727049062494e-06,3.951437520299805e-06,4.999048542231321e-06,1.682492256804835e-05,1.986964161915239e-05,2.3558506654808298e-05,2.8175945772090927e-05,3.2947595173027366e-05,3.394119266886264e-05,3.459355502855033e-05,3.511778777465224e-05,3.5637433029478416e-05,3.618314804043621e-05,3.6530502256937325e-05,3.691283563966863e-05,3.721853136084974e-05,3.752305201487616e-05,3.7839381548110396e-05,3.815424133790657e-05,3.844757520710118e-05,3.874339017784223e-05,3.900036608683877e-05,3.9259215554920956e-05,3.951779581257142e-05,3.9757189369993284e-05,3.997487874585204e-05,4.0180781070375815e-05,4.043212175020017e-05,4.0645780245540664e-05
Chair_100000_pointcloud,Basic,1.6284177490888396e-06,2.917524625445367e-06,4.113296654395526e-06,5.252215032669483e-06,1.717437589832116e-05,2.0073101040907204e-05,2.3643877284484915e-05,2.8052292691427283e-05,3.257946445955895e-05,3.360038681421429e-05,3.432650919421576e-05,3.494361590128392e-05,3.545753497746773e-05,3.58958677679766e-05,3.6226556403562427e-05,3.659405410871841e-05,3.6953468224965036e-05,3.727585863089189e-05,3.758266393560916e-05,3.789296169998124e-05,3.823247243417427e-05,3.857870979118161e-05,3.888071660185233e-05,3.916342757293023e-05,3.945200296584517e-05,3.9760601794114336e-05,4.002427522209473e-05,4.028838156955317e-05,4.056332909385674e-05,4.083321982761845e-05
DragonOnWall_100000_colored_pointcloud,Basic,1.5988816812750883e-06,3.2876546356419567e-06,4.9267036956734955e-06,6.236452463781461e-06,1.9952727598138154e-05,2.2119342247606255e-05,2.5524677766952664e-05,3.0323521059472114e-05,3.586330421967432e-05,3.673784522106871e-05,3.734156780410558e-05,3.7856283597648144e-05,3.837004624074325e-05,3.883660974679515e-05,3.914760600309819e-05,3.9436421502614394e-05,3.9752398151904345e-05,4.004585207439959e-05,4.0316728700418025e-05,4.0595317841507494e-05,4.0956114389700815e-05,4.122243990423158e-05,4.1488536226097494e-05,4.170392276137136e-05,4.197606904199347e-05,4.222254938213155e-05,4.246959724696353e-05,4.273196100257337e-05,4.29803658335004e-05,4.320089647080749e-05
DragonOnWall_100000_pointcloud,Basic,1.4960604630687158e-06,2.979171313199913e-06,4.260199602867942e-06,5.383431016525719e-06,1.821817204472609e-05,2.0259942175471224e-05,2.3084749045665376e-05,2.7338259315001778e-05,3.226521585020237e-05,3.306311191408895e-05,3.360994378454052e-05,3.4091375709977e-05,3.453476892900653e-05,3.48748144460842e-05,3.516079596010968e-05,3.5402765206526965e-05,3.5654134990181774e-05,3.5928380384575576e-05,3.6156758142169565e-05,3.6429202737053856e-05,3.668553472380154e-05,3.6944926250725985e-05,3.72215399693232e-05,3.744344940059818e-05,3.766007284866646e-05,3.7830177461728454e-05,3.8024289096938446e-05,3.824621671810746e-05,3.8513768231496215e-05,3.873961395584047e-05
Elephant_100000_colored_pointcloud,Basic,1.578697947479668e-06,2.971102503579459e-06,4.404761966725346e-06,5.675599368260009e-06,8.59622196003329e-06,1.1286191693216097e-05,1.4710362847836222e-05,1.8711471057031304e-05,2.3024778784019873e-05,2.423442856525071e-05,2.498390676919371e-05,2.567167757661082e-05,2.6273351977579296e-05,2.6817619072971866e-05,2.726907769101672e-05,2.7713706003851257e-05,2.8118583941250108e-05,2.853777550626546e-05,2.8939570256625302e-05,2.932369170594029e-05,2.9687069400097243e-05,3.0058901757001877e-05,3.0424032956943847e-05,3.0789353331783786e-05,3.114969513262622e-05,3.149320764350705e-05,3.1825464247958735e-05,3.2110969186760485e-05,3.24551947414875e-05,3.2826384995132685e-05
Elephant_100000_pointcloud,Basic,1.6778132021499914e-06,3.077146175201051e-06,4.508641268330393e-06,5.9228186728432775e-06,8.722601705812849e-06,1.1212083336431533e-05,1.4626151823904365e-05,1.860843076428864e-05,2.2731448552804068e-05,2.3900080122984946e-05,2.473879067110829e-05,2.5422061298741028e-05,2.610967931104824e-05,2.6657118723960593e-05,2.710992885113228e-05,2.754355955403298e-05,2.7976648198091425e-05,2.83994413621258e-05,2.8758669941453263e-05,2.917915116995573e-05,2.9629189157276414e-05,3.0077475457801484e-05,3.050322993658483e-05,3.08422495436389e-05,3.1168190616881475e-05,3.150062548229471e-05,3.190117422491312e-05,3.2234158425126225e-05,3.2638912671245635e-05,3.29981921822764e-05
Fountain_100000_colored_pointcloud,Basic,1.5740090475446777e-06,3.0065477858443046e-06,4.465666734176921e-06,5.843851795361843e-06,4.2162246245425195e-05,4.675568197853863e-05,5.446310024126433e-05,6.28504203632474e-05,7.173926860559732e-05,7.322969031520188e-05,7.421095506288111e-05,7.495968020521104e-05,7.56506051402539e-05,7.62837880756706e-05,7.685670425416902e-05,7.731943333055824e-05,7.774711411911994e-05,7.825672946637496e-05,7.870235276641324e-05,7.91615602793172e-05,7.959107460919768e-05,8.001163223525509e-05,8.044706919463351e-05,8.075135701801628e-05,8.10209967312403e-05,8.134503150358796e-05,8.166422776412219e-05,8.1969155871775e-05,8.231234096456319e-05,8.257313311332837e-05
