name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Bicycle_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,9.351688277092762e-07,9.351688277092762e-07,9.468183179706102e-07,9.468183179706102e-07,9.661330295784865e-07,1.0417309113108786e-06,1.8248103970108787e-06,2.4537721401429735e-06,4.720051947515458e-06,5.791570401925128e-06,6.798295089538442e-06,7.807093425071798e-06,8.782808436080813e-06,9.751525794854388e-06,1.0672771168174222e-05,1.1265988177910913e-05,1.1751691999961622e-05,1.2079656698915642e-05,1.2374501238809898e-05,1.2543196135084145e-05,1.269236054213252e-05,1.2362467714410741e-05,1.2431441973603796e-05,1.2436012184480205e-05
Bicycle_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,9.285862461183569e-07,9.285862461183569e-07,9.391677622261341e-07,9.391677622261341e-07,9.65993990575953e-07,1.0377467560829245e-06,1.6864762528712163e-06,2.1663945517502725e-06,4.143568730796687e-06,4.970413101546001e-06,5.778572813142091e-06,6.516977009596303e-06,7.244726475619245e-06,8.002212780411355e-06,8.646459718875121e-06,9.108423910220154e-06,9.454164683120325e-06,9.716155545902438e-06,9.92706191027537e-06,1.0073659723275341e-05,1.0176830983255059e-05,9.96512608253397e-06,1.0017460226663388e-05,1.0007330274675041e-05
Cat_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,5.267203277981025e-07,5.267203277981025e-07,5.293185267873923e-07,5.293185267873923e-07,5.454834308693535e-07,6.277657575992635e-07,1.371076450595865e-06,1.9395902199903503e-06,4.441489636519691e-06,5.688504188583465e-06,6.876143743284047e-06,7.977952918736264e-06,9.122763003688306e-06,1.0226425729342736e-05,1.1176256521139294e-05,1.1863123290822841e-05,1.24114376376383e-05,1.284195877815364e-05,1.3174470950616524e-05,1.3434677384793758e-05,1.3628505257656798e-05,1.3207050869823433e-05,1.3279400263854768e-05,1.3278783626446966e-05
Cat_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,5.407314347394276e-07,5.407314347394276e-07,5.43263240615488e-07,5.43263240615488e-07,5.705213084183924e-07,6.559010330420278e-07,1.4465671256402857e-06,2.0764975943166064e-06,4.782864380104002e-06,5.99951181357028e-06,7.154821560106939e-06,8.239784619945567e-06,9.248876267520245e-06,1.0315391591575462e-05,1.113852431444684e-05,1.1760728739318438e-05,1.2254283319634851e-05,1.2636997780646197e-05,1.2921736015414353e-05,1.3133588254277129e-05,1.3298921658133622e-05,1.2908974895253778e-05,1.29933732750942e-05,1.2978452105016913e-05
Chair3Legs_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,7.894052032497711e-06,7.894052032497711e-06,8.016740139282774e-06,8.016740139282774e-06,8.136650649248622e-06,8.192613677238114e-06,8.94166441867128e-06,9.337134542874992e-06,1.1620217264862731e-05,1.244692612090148e-05,1.3246146409073845e-05,1.4007508070790209e-05,1.4818949239270296e-05,1.5664247257518582e-05,1.642642200749833e-05,1.702991903584916e-05,1.7505682990304194e-05,1.7849180949269794e-05,1.8111950339516625e-05,1.8307324353372678e-05,1.8435770471114665e-05,1.8415836166241206e-05,1.845550286816433e-05,1.8466507754055783e-05
Chair3Legs_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,8.003547918633558e-06,8.003547918633558e-06,8.101867024379317e-06,8.101867024379317e-06,8.13974293123465e-06,8.185545993910637e-06,8.930945114116184e-06,9.379835319123231e-06,1.1679015187837649e-05,1.2552312909974717e-05,1.3324681276571937e-05,1.412015080859419e-05,1.4852626009087544e-05,1.5689340216340497e-05,1.642616552999243e-05,1.6971367585938424e-05,1.7409243810107e-05,1.7735688743414357e-05,1.7998690964304842e-05,1.8172540876548737e-05,1.831168083299417e-05,1.8350721802562475e-05,1.8400411136099137e-05,1.841123230406083e-05
Chair_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,8.381997758988291e-06,8.381997758988291e-06,8.474102287436835e-06,8.474102287436835e-06,8.576866093790159e-06,8.607435120211449e-06,9.370107363793068e-06,9.768689778866246e-06,1.2081362001481466e-05,1.296097798331175e-05,1.3761583431914914e-05,1.4526722225127742e-05,1.5336210708483122e-05,1.618383794266265e-05,1.692950536380522e-05,1.7461647075833753e-05,1.78585723915603e-05,1.8190832633990794e-05,1.84381988219684e-05,1.862935459939763e-05,1.8756045392365195e-05,1.8792565242620185e-05,1.883531513158232e-05,1.8844182704924606e-05
Chair_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,8.41354631120339e-06,8.41354631120339e-06,8.493494533468038e-06,8.493494533468038e-06,8.548135156161152e-06,8.589605386077892e-06,9.367204256705008e-06,9.740085261000786e-06,1.2098844308638945e-05,1.2963453627889976e-05,1.3787205716653261e-05,1.4549691513821017e-05,1.5381447155959904e-05,1.6158022845047526e-05,1.6842299373820424e-05,1.736190461087972e-05,1.7759899492375553e-05,1.8057384295389056e-05,1.8286977137904614e-05,1.845289079938084e-05,1.8579621610115282e-05,1.8636086679180153e-05,1.8679420463740826e-05,1.8689341231947765e-05
DragonOnWall_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.1230962627450936e-05,1.1230962627450936e-05,1.1451512364146765e-05,1.1451512364146765e-05,1.1663449186016805e-05,1.1675498171825893e-05,1.2764288840116933e-05,1.3066393876215443e-05,1.5811452612979338e-05,1.6539352145628072e-05,1.714482277748175e-05,1.7778624169295654e-05,1.840020740928594e-05,1.9057237295783125e-05,1.9627999790827744e-05,2.0037521608173847e-05,2.0355953893158585e-05,2.0608509657904506e-05,2.0807596229133196e-05,2.0946878066752106e-05,2.1055369870737195e-05,2.0740082618431188e-05,2.0787752873729914e-05,2.077606404782273e-05
DragonOnWall_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.1236262253078166e-05,1.1236262253078166e-05,1.1489020835142583e-05,1.1489020835142583e-05,1.165249886980746e-05,1.1662638826237526e-05,1.2420365237630904e-05,1.2698654245468788e-05,1.4937397281755693e-05,1.5571080439258367e-05,1.623673233552836e-05,1.6845238860696554e-05,1.750438786984887e-05,1.8154571080231108e-05,1.8724296751315705e-05,1.9130204236716963e-05,1.9493534637149423e-05,1.9757124391617253e-05,1.994802732951939e-05,2.0094154024263844e-05,2.021071850322187e-05,1.9826728021143936e-05,1.9884422727045603e-05,1.986340976145584e-05
