name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Bicycle_100000_colored_pointcloud,Mask_Sil,1.6496230728080263e-06,3.1723343454359565e-06,4.743370482174214e-06,6.115091309766285e-06,9.308398148277774e-06,1.1447070392023306e-05,1.4379778804141097e-05,1.7809439668781124e-05,2.1347768779378384e-05,2.2477357561001554e-05,2.32200363825541e-05,2.386951382504776e-05,2.4434764782199636e-05,2.5006835130625404e-05,2.552311161707621e-05,2.599258368718438e-05,2.6511603209655732e-05,2.697331365197897e-05,2.7391151888878085e-05,2.780020258796867e-05,2.8240534447832033e-05,2.8609525543288328e-05,2.9050504963379353e-05,2.9397913749562576e-05,2.9741657272097655e-05,3.012007255165372e-05,3.0525039619533345e-05,3.0960654839873314e-05,3.134390863124281e-05,3.1704075809102505e-05
Bicycle_100000_pointcloud,Mask_Sil,1.8351543076278176e-06,3.568718057067599e-06,5.200067789701279e-06,6.783157914469484e-06,1.0046262104879133e-05,1.2099149898858741e-05,1.4818232557445299e-05,1.8080976587953046e-05,2.1257937987684272e-05,2.218826557509601e-05,2.2863219783175737e-05,2.34109720622655e-05,2.3844149836804718e-05,2.4310673325089738e-05,2.4678814952494577e-05,2.5040350010385737e-05,2.5412919057998806e-05,2.5740580895217136e-05,2.6083145712618716e-05,2.6390409402665682e-05,2.6691901439335197e-05,2.702005804167129e-05,2.7318697902956046e-05,2.764225246210117e-05,2.7974661861662753e-05,2.824860712280497e-05,2.855557613656856e-05,2.8832893804064952e-05,2.9125068977009505e-05,2.942372339020949e-05
Cat_100000_colored_pointcloud,Mask_Sil,1.6395854345319094e-06,3.174563971697353e-06,4.759062903758604e-06,6.3238348957384005e-06,1.1055772120016627e-05,1.4838206880085636e-05,1.9663566490635276e-05,2.531792051740922e-05,3.167308386764489e-05,3.3109012292698026e-05,3.418591586523689e-05,3.5075117921223864e-05,3.575138543965295e-05,3.6372599424794316e-05,3.6881116102449596e-05,3.744220157386735e-05,3.7957492168061435e-05,3.842751539195888e-05,3.894129622494802e-05,3.9315644244197756e-05,3.9758240745868534e-05,4.01891848014202e-05,4.0577055187895894e-05,4.0998493204824626e-05,4.140659802942537e-05,4.178470771876164e-05,4.2175954149570316e-05,4.255790918250568e-05,4.2924519220832735e-05,4.330393494456075e-05
Cat_100000_pointcloud,Mask_Sil,1.7649454093771055e-06,3.545023901097011e-06,5.515017619472928e-06,7.4012573350046296e-06,1.1906045983778313e-05,1.5244550013449043e-05,1.936113039846532e-05,2.4395587388426065e-05,2.991384462802671e-05,3.1420586310559884e-05,3.2566596928518265e-05,3.338777241879143e-05,3.4134802262997255e-05,3.4801883884938434e-05,3.536948497639969e-05,3.5885699617210776e-05,3.637239206000231e-05,3.684983676066622e-05,3.727300645550713e-05,3.773816570173949e-05,3.810874477494508e-05,3.850162465823814e-05,3.889667641487904e-05,3.930686216335744e-05,3.9655751606915146e-05,4.004171205451712e-05,4.0398648707196116e-05,4.070463546668179e-05,4.109007932129316e-05,4.145316415815614e-05
Chair3Legs_100000_colored_pointcloud,Mask_Sil,1.5515101949858945e-06,2.9214754704298684e-06,4.200061084702611e-06,5.451943252410274e-06,1.7128319086623378e-05,2.0095774743822403e-05,2.3566051822854206e-05,2.783063246170059e-05,3.2482763344887644e-05,3.362920688232407e-05,3.4379729186184704e-05,3.4913187846541405e-05,3.54562362190336e-05,3.5956214560428634e-05,3.6397206713445485e-05,3.684254625113681e-05,3.71699316019658e-05,3.748469316633418e-05,3.783254214795306e-05,3.81837526219897e-05,3.848951018881053e-05,3.8809645047876984e-05,3.9109632780309767e-05,3.937394649256021e-05,3.9685975934844464e-05,4.001594061264768e-05,4.0314953366760164e-05,4.0580780478194356e-05,4.082200030097738e-05,4.10642969654873e-05
Chair3Legs_100000_pointcloud,Mask_Sil,1.6109007674458553e-06,3.160156211379217e-06,4.534495928965043e-06,5.852840331499465e-06,1.7536287487018853e-05,2.0359628251753747e-05,2.376465272391215e-05,2.777695954137016e-05,3.204443783033639e-05,3.305475547676906e-05,3.36656958097592e-05,3.42367056873627e-05,3.472488606348634e-05,3.516989090712741e-05,3.554437716957182e-05,3.5893219319405034e-05,3.6223631468601525e-05,3.652379382401705e-05,3.6824199924012646e-05,3.715107959578745e-05,3.7449128285516053e-05,3.775596269406378e-05,3.804409789154306e-05,3.829592606052756e-05,3.854963870253414e-05,3.8818925531813875e-05,3.909765655407682e-05,3.9370948798023164e-05,3.9619488234166056e-05,3.9858936361270025e-05
Chair_100000_colored_pointcloud,Mask_Sil,1.513137249276042e-06,2.86825616058195e-06,4.217955392959993e-06,5.482735559780849e-06,1.7739939721650444e-05,2.0744821085827425e-05,2.441145079501439e-05,2.8838332582381554e-05,3.325322177261114e-05,3.422879672143608e-05,3.4922031773021445e-05,3.5574477806221694e-05,3.6048779293196276e-05,3.6487683246377856e-05,3.6852721677860245e-05,3.720580571098253e-05,3.757121885428205e-05,3.789670518017374e-05,3.826004103757441e-05,3.855938120977953e-05,3.883670797222294e-05,3.912892861990258e-05,3.9431590266758576e-05,3.9704162190901116e-05,3.997904059360735e-05,4.026062015327625e-05,4.051176074426621e-05,4.076298500876874e-05,4.0999671909958124e-05,4.125039777136408e-05
Chair_100000_pointcloud,Mask_Sil,1.7442328044126043e-06,3.3107703529822174e-06,4.834428182221018e-06,6.291425052040722e-06,1.828005406423472e-05,2.1150062821106985e-05,2.460610630805604e-05,2.889619645429775e-05,3.3392192563042045e-05,3.443676541792229e-05,3.520902100717649e-05,3.578027099138126e-05,3.626300167525187e-05,3.6765883123734966e-05,3.713590558618307e-05,3.7478410376934335e-05,3.7773395888507366e-05,3.806326276389882e-05,3.839554847218096e-05,3.874646426993422e-05,3.9063274016371e-05,3.9383994590025395e-05,3.9664184441789985e-05,3.999299224233255e-05,4.022430221084505e-05,4.047424954478629e-05,4.0722632547840476e-05,4.098657154827379e-05,4.1262661397922784e-05,4.150234235567041e-05
DragonOnWall_100000_colored_pointcloud,Mask_Sil,1.6098804280773038e-06,3.338076112413546e-06,4.9729892452887725e-06,6.442930043704109e-06,2.0085935830138624e-05,2.2436513972934335e-05,2.5761819415492937e-05,3.071057653869502e-05,3.592249777284451e-05,3.683775867102668e-05,3.742203625733964e-05,3.7922454794170335e-05,3.834480230580084e-05,3.875956463161856e-05,3.917860158253461e-05,3.952428960474208e-05,3.985525472671725e-05,4.015314334537834e-05,4.042393993586302e-05,4.069459464517422e-05,4.1018385672941804e-05,4.126104249735363e-05,4.151187386014499e-05,4.176941001787782e-05,4.2036466766148806e-05,4.2269308323739097e-05,4.2482177377678454e-05,4.271713623893447e-05,4.291304503567517e-05,4.3150743294972926e-05
DragonOnWall_100000_pointcloud,Mask_Sil,1.6238906255239272e-06,3.349812686792575e-06,4.9125487748824526e-06,6.21198205408291e-06,1.922413139254786e-05,2.1642539650201797e-05,2.453699562465772e-05,2.858095831470564e-05,3.3379681553924456e-05,3.429382195463404e-05,3.491298411972821e-05,3.542321064742282e-05,3.579489202820696e-05,3.621826181188226e-05,3.6554996768245474e-05,3.692618338391185e-05,3.725194983417168e-05,3.758311504498124e-05,3.791517883655615e-05,3.822840881184675e-05,3.853375164908357e-05,3.8780908653279766e-05,3.907342761522159e-05,3.930611637770198e-05,3.954036583309062e-05,3.979108078056015e-05,4.005915980087593e-05,4.027574323117733e-05,4.0505565266357735e-05,4.074112803209573e-05
