name,config,mean,std_dev,min,max
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Basic,0.2680,0.0194,0.2119,0.3001
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Basic,0.2622,0.0229,0.1649,0.3040
a_blue_chair_with_red_armrests,Basic,0.3462,0.0120,0.3130,0.3677
a_blue_chair_with_red_armrests,Basic,0.3221,0.0093,0.3020,0.3463
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Basic,0.2621,0.0089,0.2407,0.2851
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Basic,0.2667,0.0086,0.2412,0.2852
a_gray_elephant,Basic,0.2508,0.0311,0.1848,0.2920
a_gray_elephant,Basic,0.2703,0.0158,0.2147,0.2921
a_green_metallic_sniper_rifle_with_black_barrel,Basic,0.3180,0.0176,0.2675,0.3421
a_green_metallic_sniper_rifle_with_black_barrel,Basic,0.3087,0.0209,0.2477,0.3353
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Basic,0.3067,0.0064,0.2924,0.3184
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Basic,0.2495,0.0170,0.2085,0.2777
a_light_blue_sofa_with_orange_pillows,Basic,0.2980,0.0333,0.2392,0.3486
a_light_blue_sofa_with_orange_pillows,Basic,0.3157,0.0234,0.2557,0.3478
a_mat_green_bicycle_with_red_saddle_and_handles,Basic,0.2613,0.0142,0.2191,0.2959
a_mat_green_bicycle_with_red_saddle_and_handles,Basic,0.2669,0.0183,0.2087,0.3023
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Basic,0.3498,0.0263,0.2817,0.3897
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Basic,0.3378,0.0361,0.2525,0.3966
a_silver_spaceship_with_glowing_orange_thrusters,Basic,0.3106,0.0126,0.2778,0.3345
a_silver_spaceship_with_glowing_orange_thrusters,Basic,0.3081,0.0190,0.2675,0.3711
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Basic,0.3124,0.0150,0.2567,0.3400
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Basic,0.3048,0.0144,0.2439,0.3286
a_white_cat_with_black_spots,Basic,0.2751,0.0112,0.2497,0.2993
a_white_cat_with_black_spots,Basic,0.2547,0.0103,0.2098,0.2721
a_wooden_chair,Basic,0.3026,0.0086,0.2809,0.3153
a_wooden_chair,Basic,0.3026,0.0125,0.2761,0.3297
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Basic,0.3147,0.0230,0.2389,0.3457
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Basic,0.3007,0.0193,0.2301,0.3325
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Basic,0.3216,0.0090,0.2889,0.3389
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Basic,0.3045,0.0150,0.2604,0.3287
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Basic_Chamfer,0.2615,0.0177,0.2159,0.2902
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Basic_Chamfer,0.2487,0.0167,0.1974,0.2859
a_blue_chair_with_red_armrests,Basic_Chamfer,0.3491,0.0096,0.3168,0.3711
a_blue_chair_with_red_armrests,Basic_Chamfer,0.3197,0.0104,0.2802,0.3436
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Basic_Chamfer,0.2669,0.0093,0.2477,0.2867
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Basic_Chamfer,0.2430,0.0142,0.2128,0.2766
a_gray_elephant,Basic_Chamfer,0.2636,0.0282,0.2076,0.3053
a_gray_elephant,Basic_Chamfer,0.2647,0.0242,0.2095,0.3023
a_green_metallic_sniper_rifle_with_black_barrel,Basic_Chamfer,0.3127,0.0222,0.2464,0.3336
a_green_metallic_sniper_rifle_with_black_barrel,Basic_Chamfer,0.3123,0.0164,0.2638,0.3322
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Basic_Chamfer,0.3100,0.0058,0.2883,0.3220
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Basic_Chamfer,0.2543,0.0085,0.2333,0.2739
a_light_blue_sofa_with_orange_pillows,Basic_Chamfer,0.3023,0.0282,0.2289,0.3462
a_light_blue_sofa_with_orange_pillows,Basic_Chamfer,0.3112,0.0267,0.2472,0.3519
a_mat_green_bicycle_with_red_saddle_and_handles,Basic_Chamfer,0.2576,0.0156,0.2153,0.2927
a_mat_green_bicycle_with_red_saddle_and_handles,Basic_Chamfer,0.2600,0.0159,0.2065,0.2841
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Basic_Chamfer,0.3468,0.0254,0.2564,0.3828
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Basic_Chamfer,0.3059,0.0333,0.2182,0.3548
a_silver_spaceship_with_glowing_orange_thrusters,Basic_Chamfer,0.3041,0.0130,0.2654,0.3340
a_silver_spaceship_with_glowing_orange_thrusters,Basic_Chamfer,0.3108,0.0155,0.2764,0.3499
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Basic_Chamfer,0.3133,0.0148,0.2638,0.3432
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Basic_Chamfer,0.3029,0.0167,0.2472,0.3260
a_white_cat_with_black_spots,Basic_Chamfer,0.2780,0.0118,0.2516,0.2996
a_white_cat_with_black_spots,Basic_Chamfer,0.2656,0.0103,0.2299,0.2831
a_wooden_chair,Basic_Chamfer,0.2992,0.0077,0.2821,0.3153
a_wooden_chair,Basic_Chamfer,0.3058,0.0145,0.2629,0.3321
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Basic_Chamfer,0.3100,0.0219,0.2261,0.3388
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Basic_Chamfer,0.3040,0.0178,0.2441,0.3340
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Basic_Chamfer,0.3103,0.0174,0.2462,0.3359
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Basic_Chamfer,0.2939,0.0159,0.2475,0.3273
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Basic_Chamfer_Prune,0.2419,0.0228,0.1905,0.2913
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Basic_Chamfer_Prune,0.2060,0.0256,0.1399,0.2523
a_blue_chair_with_red_armrests,Basic_Chamfer_Prune,0.3458,0.0087,0.3281,0.3682
a_blue_chair_with_red_armrests,Basic_Chamfer_Prune,0.3224,0.0081,0.3052,0.3400
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Basic_Chamfer_Prune,0.2617,0.0137,0.2241,0.2860
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Basic_Chamfer_Prune,0.2630,0.0108,0.2333,0.2850
a_gray_elephant,Basic_Chamfer_Prune,0.2668,0.0204,0.2181,0.3071
a_gray_elephant,Basic_Chamfer_Prune,0.2631,0.0205,0.2220,0.2986
a_green_metallic_sniper_rifle_with_black_barrel,Basic_Chamfer_Prune,0.3167,0.0187,0.2602,0.3368
a_green_metallic_sniper_rifle_with_black_barrel,Basic_Chamfer_Prune,0.3175,0.0158,0.2670,0.3364
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Basic_Chamfer_Prune,0.3076,0.0059,0.2910,0.3197
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Basic_Chamfer_Prune,0.2523,0.0156,0.2212,0.2861
a_light_blue_sofa_with_orange_pillows,Basic_Chamfer_Prune,0.2854,0.0441,0.2178,0.3551
a_light_blue_sofa_with_orange_pillows,Basic_Chamfer_Prune,0.3017,0.0263,0.2525,0.3400
a_mat_green_bicycle_with_red_saddle_and_handles,Basic_Chamfer_Prune,0.2619,0.0132,0.2351,0.2873
a_mat_green_bicycle_with_red_saddle_and_handles,Basic_Chamfer_Prune,0.2760,0.0147,0.2213,0.3012
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Basic_Chamfer_Prune,0.3372,0.0292,0.2587,0.3823
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Basic_Chamfer_Prune,0.3066,0.0233,0.2372,0.3503
